dk@dk:/media/sf_Dinesh-kumar/LINUX/MODULE_01$ ps -e
    PID TTY          TIME CMD
      1 ?        00:00:06 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
      6 ?        00:00:00 kworker/R-slub_
      7 ?        00:00:00 kworker/R-netns
      9 ?        00:00:00 kworker/0:1-events
     10 ?        00:00:00 kworker/0:0H-events_highpri
     12 ?        00:00:00 kworker/R-mm_pe
     13 ?        00:00:00 rcu_tasks_kthread
     14 ?        00:00:00 rcu_tasks_rude_kthread
     15 ?        00:00:00 rcu_tasks_trace_kthread
     16 ?        00:00:00 ksoftirqd/0
     17 ?        00:00:02 rcu_preempt
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 idle_inject/0
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
     22 ?        00:00:00 idle_inject/1
     23 ?        00:00:00 migration/1
     24 ?        00:00:00 ksoftirqd/1
     25 ?        00:00:00 kworker/1:0-events
     27 ?        00:00:00 cpuhp/2
     28 ?        00:00:00 idle_inject/2
     29 ?        00:00:00 migration/2
     30 ?        00:00:01 ksoftirqd/2
     33 ?        00:00:00 cpuhp/3
     34 ?        00:00:00 idle_inject/3
     35 ?        00:00:00 migration/3
     36 ?        00:00:00 ksoftirqd/3
     38 ?        00:00:00 kworker/3:0H-kblockd
     39 ?        00:00:00 cpuhp/4
     40 ?        00:00:00 idle_inject/4
     41 ?        00:00:00 migration/4
     42 ?        00:00:00 ksoftirqd/4
     44 ?        00:00:00 kworker/4:0H-events_highpri
     45 ?        00:00:00 cpuhp/5
     46 ?        00:00:00 idle_inject/5
     47 ?        00:00:00 migration/5
     48 ?        00:00:00 ksoftirqd/5
     50 ?        00:00:00 kworker/5:0H-kblockd
     51 ?        00:00:00 cpuhp/6
     52 ?        00:00:00 idle_inject/6
     53 ?        00:00:00 migration/6
     54 ?        00:00:00 ksoftirqd/6
     56 ?        00:00:00 kworker/6:0H-kblockd
     57 ?        00:00:00 kworker/u15:0-events_unbound
     58 ?        00:00:00 kworker/u16:0-flush-8:0
     59 ?        00:00:00 kworker/u17:0-events_unbound
     60 ?        00:00:00 kworker/u18:0-events_unbound
     61 ?        00:00:00 kworker/u19:0-events_unbound
     62 ?        00:00:00 kworker/u20:0-loop2
     64 ?        00:00:00 kdevtmpfs
     65 ?        00:00:00 kworker/R-inet_
     67 ?        00:00:00 kauditd
     68 ?        00:00:00 khungtaskd
     69 ?        00:00:00 oom_reaper
     71 ?        00:00:00 kworker/R-write
     72 ?        00:00:00 kcompactd0
     73 ?        00:00:00 ksmd
     74 ?        00:00:00 khugepaged
     75 ?        00:00:00 kworker/R-kinte
     76 ?        00:00:00 kworker/R-kbloc
     77 ?        00:00:00 kworker/R-blkcg
     78 ?        00:00:00 irq/9-acpi
     79 ?        00:00:00 kworker/2:1-events
     81 ?        00:00:00 kworker/R-tpm_d
     82 ?        00:00:00 kworker/R-ata_s
     83 ?        00:00:00 kworker/R-md
     84 ?        00:00:00 kworker/R-md_bi
     85 ?        00:00:00 kworker/R-edac-
     86 ?        00:00:00 kworker/R-devfr
     87 ?        00:00:00 watchdogd
     89 ?        00:00:00 kworker/u16:1-events_unbound
     90 ?        00:00:00 kswapd0
     91 ?        00:00:00 ecryptfs-kthread
     92 ?        00:00:00 kworker/R-kthro
     93 ?        00:00:00 kworker/R-acpi_
     94 ?        00:00:02 kworker/u17:1-events_unbound
     96 ?        00:00:00 kworker/3:1-cgroup_destroy
     97 ?        00:00:00 scsi_eh_0
     98 ?        00:00:00 kworker/R-scsi_
     99 ?        00:00:00 scsi_eh_1
    100 ?        00:00:00 kworker/R-scsi_
    101 ?        00:00:00 kworker/u17:2-loop5
    105 ?        00:00:00 kworker/R-mld
    106 ?        00:00:00 kworker/2:1H
